country,modern_slavery
Afghanistan,113
Albania,29
Algeria,63
Angola,64
Argentina,40
Armenia,47
Australia,2
Austria,2
Azerbaijan,47
Bahrain,47
Bangladesh,95
Barbados,21
Belarus,47
Belgium,2
Benin,29
Bolivia,44
Bosnia and Herzegovina,47
Botswana,52
Brazil,8
Brunei,81
Bulgaria,40
Burkina Faso,64
Burundi,64
Cambodia,165
Cameroon,63
Canada,2
Cape Verde,45
Central African Republic,113
Chad,64
Chile,15
China,25
Colombia,64
Costa Rica,40
Croatia,40
Cuba,33
Cyprus,40
Czech Republic,40
Democratic Republic of the Congo,113
Denmark,2
Djibouti,52
Dominican Republic,100
Ecuador,40
Egypt,63
El Salvador,29
Equatorial Guinea,29
Eritrea,67
Estonia,40
Ethiopia,41
Finland,12
France,2
Gabon,29
Gambia,88
Georgia,47
Germany,2
Ghana,38
Greece,40
Guatemala,84
Guinea,64
Guinea-Bissau,62
Guyana,62
Haiti,100
Honduras,29
"Hong Kong, SAR China",40
Hungary,23
Iceland,12
India,140
Indonesia,29
Iran,63
Iraq,113
Ireland,2
Israel,14
Italy,21
Ivory Coast,64
Jamaica,21
Japan,23
Jordan,64
Kazakhstan,47
Kenya,41
Kosovo,29
Kuwait,47
Kyrgyzstan,47
Laos,29
Latvia,40
Lebanon,63
Lesotho,67
Liberia,64
Libya,113
Lithuania,40
Luxembourg,2
Macedonia,64
Madagascar,67
Malawi,67
Malaysia,43
Mali,63
Mauritania,106
Mauritius,17
Mexico,30
Moldova,29
Mongolia,29
Montenegro,40
Morocco,64
Mozambique,52
Myanmar,96
Namibia,67
Nepal,82
Netherlands,10
New Zealand,2
Nicaragua,40
Niger,64
Nigeria,48
North Korea,437
Norway,2
Oman,29
Pakistan,113
Panama,40
Papua New Guinea,62
Paraguay,40
Peru,64
Philippines,40
Poland,48
Portugal,12
Qatar,136
Republic of the Congo,64
Romania,40
Russia,73
Rwanda,64
Saudi Arabia,29
Senegal,52
Serbia,40
Sierra Leone,67
Singapore,17
Slovakia,23
Slovenia,23
Somalia,113
South Africa,45
South Korea,40
South Sudan,113
Spain,2
Sri Lanka,22
Sudan,113
Suriname,45
Swaziland,67
Sweden,2
Switzerland,2
Syria,113
Taiwan,23
Tajikistan,64
Tanzania,64
Thailand,63
Timor-Leste,29
Togo,64
Trinidad and Tobago,45
Tunisia,77
Turkey,63
Turkmenistan,29
Uganda,63
Ukraine,47
United Arab Emirates,40
United Kingdom,2
United States of America,2
Uruguay,23
Uzbekistan,397
Venezuela,64
Vietnam,15
Yemen,113
Zambia,67
Zimbabwe,64
